example,word_position,role,word_hex_40bit,l1_counter,type,bcid,chip_id,status,hits,crc_field,event_crc_check
90,178,Header,0x3C5C1888A8,98,0,2216,,,,,PASS
90,179,Trailer,0x7FFF800019,,,,131070,0,0,0x19,PASS
90,180,Next Header,0x3C5C18C90E,99,0,2318,,,,,PASS
91,180,Header,0x3C5C18C90E,99,0,2318,,,,,PASS
91,181,Trailer,0x7FFF800058,,,,131070,0,0,0x58,PASS
91,182,Next Header,0x3C5C190974,100,0,2420,,,,,PASS
92,182,Header,0x3C5C190974,100,0,2420,,,,,PASS
92,183,Trailer,0x7FFF800034,,,,131070,0,0,0x34,PASS
92,184,Next Header,0x3C5C1949DA,101,0,2522,,,,,PASS
93,184,Header,0x3C5C1949DA,101,0,2522,,,,,PASS
93,185,Trailer,0x7FFF8000DA,,,,131070,0,0,0xDA,PASS
93,186,Next Header,0x3C5C198A40,102,0,2624,,,,,PASS
94,186,Header,0x3C5C198A40,102,0,2624,,,,,PASS
94,187,Trailer,0x7FFF80001C,,,,131070,0,0,0x1C,PASS
94,188,Next Header,0x3C5C19CAA6,103,0,2726,,,,,PASS
95,188,Header,0x3C5C19CAA6,103,0,2726,,,,,PASS
95,189,Trailer,0x7FFF80001C,,,,131070,0,0,0x1C,PASS
95,190,Next Header,0x3C5C1A0B0C,104,0,2828,,,,,PASS
96,190,Header,0x3C5C1A0B0C,104,0,2828,,,,,PASS
96,191,Trailer,0x7FFF800005,,,,131070,0,0,0x05,PASS
96,192,Next Header,0x3C5C1A4B72,105,0,2930,,,,,PASS
97,192,Header,0x3C5C1A4B72,105,0,2930,,,,,PASS
97,193,Trailer,0x7FFF80000D,,,,131070,0,0,0x0D,PASS
97,194,Next Header,0x3C5C1A8BD8,106,0,3032,,,,,PASS
98,194,Header,0x3C5C1A8BD8,106,0,3032,,,,,PASS
98,195,Trailer,0x7FFF800073,,,,131070,0,0,0x73,PASS
98,196,Next Header,0x3C5C1ACC3E,107,0,3134,,,,,PASS
99,196,Header,0x3C5C1ACC3E,107,0,3134,,,,,PASS
99,197,Trailer,0x7FFF8000F0,,,,131070,0,0,0xF0,PASS
99,198,Next Header,0x3C5C1B0CA4,108,0,3236,,,,,PASS
100,198,Header,0x3C5C1B0CA4,108,0,3236,,,,,PASS
100,199,Trailer,0x7FFF80003E,,,,131070,0,0,0x3E,PASS
100,200,Next Header,0x3C5C1B4D0A,109,0,3338,,,,,PASS
101,200,Header,0x3C5C1B4D0A,109,0,3338,,,,,PASS
101,201,Trailer,0x7FFF800084,,,,131070,0,0,0x84,PASS
101,202,Next Header,0x3C5C1B8D70,110,0,3440,,,,,PASS
102,202,Header,0x3C5C1B8D70,110,0,3440,,,,,PASS
102,203,Trailer,0x7FFF80001C,,,,131070,0,0,0x1C,PASS
102,204,Next Header,0x3C5C1BCDD6,111,0,3542,,,,,PASS
103,204,Header,0x3C5C1BCDD6,111,0,3542,,,,,PASS
103,205,Trailer,0x7FFF800009,,,,131070,0,0,0x09,PASS
103,206,Next Header,0x3C5C1C0050,112,0,80,,,,,PASS
104,206,Header,0x3C5C1C0050,112,0,80,,,,,PASS
104,207,Trailer,0x7FFF8000BC,,,,131070,0,0,0xBC,PASS
104,208,Next Header,0x3C5C1C40B6,113,0,182,,,,,PASS
105,208,Header,0x3C5C1C40B6,113,0,182,,,,,PASS
105,209,Trailer,0x7FFF8000BC,,,,131070,0,0,0xBC,PASS
105,210,Next Header,0x3C5C1C811C,114,0,284,,,,,PASS
106,210,Header,0x3C5C1C811C,114,0,284,,,,,PASS
106,211,Trailer,0x7FFF800096,,,,131070,0,0,0x96,PASS
106,212,Next Header,0x3C5C1CC182,115,0,386,,,,,PASS
107,212,Header,0x3C5C1CC182,115,0,386,,,,,PASS
107,213,Trailer,0x7FFF80003C,,,,131070,0,0,0x3C,PASS
107,214,Next Header,0x3C5C1D01E8,116,0,488,,,,,PASS
108,214,Header,0x3C5C1D01E8,116,0,488,,,,,PASS
108,215,Trailer,0x7FFF800089,,,,131070,0,0,0x89,PASS
108,216,Next Header,0x3C5C1D424E,117,0,590,,,,,PASS
109,216,Header,0x3C5C1D424E,117,0,590,,,,,PASS
109,217,Trailer,0x7FFF800060,,,,131070,0,0,0x60,PASS
109,218,Next Header,0x3C5C1D82B4,118,0,692,,,,,PASS
110,218,Header,0x3C5C1D82B4,118,0,692,,,,,PASS
110,219,Trailer,0x7FFF8000D2,,,,131070,0,0,0xD2,PASS
110,220,Next Header,0x3C5C1DC31A,119,0,794,,,,,PASS
111,220,Header,0x3C5C1DC31A,119,0,794,,,,,PASS
111,221,Trailer,0x7FFF800068,,,,131070,0,0,0x68,PASS
111,222,Next Header,0x3C5C1E0380,120,0,896,,,,,PASS
112,222,Header,0x3C5C1E0380,120,0,896,,,,,PASS
112,223,Trailer,0x7FFF800061,,,,131070,0,0,0x61,PASS
112,224,Next Header,0x3C5C1E43E6,121,0,998,,,,,PASS
113,224,Header,0x3C5C1E43E6,121,0,998,,,,,PASS
113,225,Trailer,0x7FFF80004B,,,,131070,0,0,0x4B,PASS
113,226,Next Header,0x3C5C1E844C,122,0,1100,,,,,PASS
114,226,Header,0x3C5C1E844C,122,0,1100,,,,,PASS
114,227,Trailer,0x7FFF8000B6,,,,131070,0,0,0xB6,PASS
114,228,Next Header,0x3C5C1EC4B2,123,0,1202,,,,,PASS
115,228,Header,0x3C5C1EC4B2,123,0,1202,,,,,PASS
115,229,Trailer,0x7FFF800094,,,,131070,0,0,0x94,PASS
115,230,Next Header,0x3C5C1F0518,124,0,1304,,,,,PASS
116,230,Header,0x3C5C1F0518,124,0,1304,,,,,PASS
116,231,Trailer,0x7FFF80004A,,,,131070,0,0,0x4A,PASS
116,232,Next Header,0x3C5C1F457E,125,0,1406,,,,,PASS
117,232,Header,0x3C5C1F457E,125,0,1406,,,,,PASS
117,233,Trailer,0x7FFF800060,,,,131070,0,0,0x60,PASS
117,234,Next Header,0x3C5C1F85E4,126,0,1508,,,,,PASS
118,234,Header,0x3C5C1F85E4,126,0,1508,,,,,PASS
118,235,Trailer,0x7FFF80005A,,,,131070,0,0,0x5A,PASS
118,236,Next Header,0x3C5C1FC64A,127,0,1610,,,,,PASS
119,236,Header,0x3C5C1FC64A,127,0,1610,,,,,PASS
119,237,Trailer,0x7FFF800048,,,,131070,0,0,0x48,PASS
119,238,Next Header,0x3C5C2006B0,128,0,1712,,,,,PASS
120,238,Header,0x3C5C2006B0,128,0,1712,,,,,PASS
120,239,Trailer,0x7FFF800044,,,,131070,0,0,0x44,PASS
120,240,Next Header,0x3C5C204716,129,0,1814,,,,,PASS
121,240,Header,0x3C5C204716,129,0,1814,,,,,PASS
121,241,Trailer,0x7FFF800005,,,,131070,0,0,0x05,PASS
121,242,Next Header,0x3C5C20877C,130,0,1916,,,,,PASS
122,242,Header,0x3C5C20877C,130,0,1916,,,,,PASS
122,243,Trailer,0x7FFF800044,,,,131070,0,0,0x44,PASS
122,244,Next Header,0x3C5C20C7E2,131,0,2018,,,,,PASS
123,244,Header,0x3C5C20C7E2,131,0,2018,,,,,PASS
123,245,Trailer,0x7FFF8000EE,,,,131070,0,0,0xEE,PASS
123,246,Next Header,0x3C5C210848,132,0,2120,,,,,PASS
124,246,Header,0x3C5C210848,132,0,2120,,,,,PASS
124,247,Trailer,0x7FFF800019,,,,131070,0,0,0x19,PASS
124,248,Next Header,0x3C5C2148AE,133,0,2222,,,,,PASS
125,248,Header,0x3C5C2148AE,133,0,2222,,,,,PASS
125,249,Trailer,0x7FFF800019,,,,131070,0,0,0x19,PASS
125,250,Next Header,0x3C5C218914,134,0,2324,,,,,PASS
126,250,Header,0x3C5C218914,134,0,2324,,,,,PASS
126,251,Trailer,0x7FFF8000EA,,,,131070,0,0,0xEA,PASS
126,252,Next Header,0x3C5C21C97A,135,0,2426,,,,,PASS
127,252,Header,0x3C5C21C97A,135,0,2426,,,,,PASS
127,253,Trailer,0x7FFF80003B,,,,131070,0,0,0x3B,PASS
127,254,Next Header,0x3C5C2209E0,136,0,2528,,,,,PASS
128,254,Header,0x3C5C2209E0,136,0,2528,,,,,PASS
128,255,Trailer,0x7FFF800032,,,,131070,0,0,0x32,PASS
128,256,Next Header,0x3C5C224A46,137,0,2630,,,,,PASS
129,256,Header,0x3C5C224A46,137,0,2630,,,,,PASS
129,257,Trailer,0x7FFF8000DB,,,,131070,0,0,0xDB,PASS
129,258,Next Header,0x3C5C228AAC,138,0,2732,,,,,PASS
130,258,Header,0x3C5C228AAC,138,0,2732,,,,,PASS
130,259,Trailer,0x7FFF8000B0,,,,131070,0,0,0xB0,PASS
130,260,Next Header,0x3C5C22CB12,139,0,2834,,,,,PASS
131,260,Header,0x3C5C22CB12,139,0,2834,,,,,PASS
131,261,Trailer,0x7FFF8000D3,,,,131070,0,0,0xD3,PASS
